Date,Close,High,Low,Open,Volume
,,,,,
04/01/2016,0.789545059,0.794667201,0.781495946,0.787593784,358076000
05/01/2016,0.802228391,0.815643598,0.792715793,0.804423619,490272000
06/01/2016,0.76905632,0.79271581,0.760031512,0.789057096,449344000
07/01/2016,0.738567114,0.754909231,0.728810565,0.749787032,645304000
08/01/2016,0.722713113,0.748811733,0.721249627,0.74807999,398472000
11/01/2016,0.723932385,0.729054584,0.711005028,0.723444596,409372000
12/01/2016,0.736128151,0.746860341,0.731006009,0.736859894,469356000
13/01/2016,0.713688254,0.746616451,0.712956511,0.741738146,481672000
14/01/2016,0.699297428,0.707346542,0.678564848,0.699053475,600236000
15/01/2016,0.661247015,0.679296576,0.64978314,0.671247462,841452000
19/01/2016,0.666613221,0.693931433,0.663930144,0.674906231,457140000
20/01/2016,0.670271814,0.678808776,0.645148834,0.653929691,481180000
21/01/2016,0.678077042,0.68856528,0.663686195,0.677589252,481456000
22/01/2016,0.693931341,0.698565694,0.689540884,0.69100437,257996000
25/01/2016,0.693199635,0.701736597,0.691736149,0.693687483,270728000
26/01/2016,0.700029016,0.702955987,0.687589504,0.694662979,227944000
27/01/2016,0.691735923,0.70124852,0.678564671,0.699053292,231700000
28/01/2016,0.684174657,0.699785032,0.670759452,0.697345909,276776000
29/01/2016,0.714420021,0.715883506,0.687345764,0.690028782,310504000
01/02/2016,0.714663982,0.718322639,0.707590506,0.713688344,289884000
02/02/2016,0.684418619,0.711005079,0.679540372,0.707346423,341908000
03/02/2016,0.687833428,0.693931266,0.671979156,0.689784762,326772000
04/02/2016,0.688077509,0.70368789,0.681247928,0.688809194,348140000
05/02/2016,0.64466089,0.691004292,0.642709615,0.683443027,600428000
08/02/2016,0.61514771,0.638075465,0.606122898,0.634904598,608852000
09/02/2016,0.621733248,0.647587972,0.604903277,0.607830249,425372000
10/02/2016,0.620269716,0.643685314,0.616854954,0.625635811,335800000
11/02/2016,0.617098927,0.623440661,0.60441546,0.60441546,340144000
12/02/2016,0.627587199,0.62880679,0.603683749,0.626855456,340816000
16/02/2016,0.65831995,0.659295646,0.634660461,0.636611736,485352000
17/02/2016,0.674662292,0.681004025,0.663930101,0.666613178,771468000
18/02/2016,0.732713401,0.755641209,0.72929864,0.730030383,1068660000
19/02/2016,0.742469668,0.749055352,0.723200581,0.728810569,525628000
22/02/2016,0.768812478,0.777349439,0.751738612,0.753202098,449668000
23/02/2016,0.770763576,0.778080945,0.759055751,0.762714465,369380000
24/02/2016,0.776129901,0.777349492,0.746372568,0.767592997,336852000
25/02/2016,0.777837098,0.781739706,0.763934101,0.779056688,349616000
26/02/2016,0.772715032,0.783447164,0.764909814,0.781495888,361964000
29/02/2016,0.767696619,0.783853496,0.767207052,0.773816673,323344000
01/03/2016,0.801724076,0.801724076,0.76843107,0.769655104,348700000
02/03/2016,0.806375146,0.809312781,0.795848698,0.797317516,233812000
03/03/2016,0.799275875,0.808823071,0.788504587,0.80539587,302004000
04/03/2016,0.796828091,0.806130506,0.790708037,0.805396097,175304000
07/03/2016,0.79168725,0.797807305,0.781405584,0.792421659,239968000
08/03/2016,0.777243972,0.788260047,0.774795962,0.78360881,274940000
09/03/2016,0.77675426,0.785322265,0.766717379,0.784098289,222788000
10/03/2016,0.775530338,0.785812004,0.759863085,0.781405551,286084000
11/03/2016,0.788749456,0.788994298,0.777733442,0.787035855,277400000
14/03/2016,0.790708005,0.793890424,0.781405532,0.785077576,190312000
15/03/2016,0.786791086,0.791687106,0.772837436,0.786546303,226216000
16/03/2016,0.810292125,0.812984977,0.777243958,0.780916003,363644000
17/03/2016,0.803437769,0.811271367,0.792421694,0.807354598,353680000
18/03/2016,0.827672899,0.83844413,0.807843979,0.81298484,545512000
21/03/2016,0.8301211,0.830365883,0.81151621,0.820329059,337780000
22/03/2016,0.828652203,0.834527416,0.818370537,0.827428227,242012000
23/03/2016,0.842850864,0.848970861,0.828652368,0.832324413,429008000
24/03/2016,0.844074547,0.845543365,0.832568907,0.835261701,244956000
28/03/2016,0.852642715,0.856314701,0.841626641,0.842605833,265388000
29/03/2016,0.866351426,0.86830981,0.847012132,0.848970517,261812000
30/03/2016,0.875409305,0.887404573,0.869044467,0.869534092,376700000
31/03/2016,0.872226834,0.881284466,0.865372429,0.879326081,379884000
01/04/2016,0.884956479,0.885446104,0.860231537,0.866841158,348292000
04/04/2016,0.876388431,0.896951762,0.872961228,0.892300525,393940000
05/04/2016,0.875164509,0.883242948,0.865127626,0.868554887,339568000
06/04/2016,0.876388431,0.876878056,0.847746718,0.86414838,453376000
