Date,key_0,Close,High,Low,Open,Volume,finbert_sentiment
,,,,,,,0.0
2016-01-04,2016-01-04,0.789545059,0.794667201,0.781495946,0.787593784,358076000.0,0.0
2016-01-05,2016-01-05,0.802228391,0.815643598,0.792715793,0.804423619,490272000.0,0.0
2016-01-06,2016-01-06,0.76905632,0.79271581,0.760031512,0.789057096,449344000.0,0.0
2016-01-07,2016-01-07,0.738567114,0.754909231,0.728810565,0.749787032,645304000.0,0.0
2016-01-08,2016-01-08,0.722713113,0.748811733,0.721249627,0.74807999,398472000.0,0.0
2016-01-11,2016-01-11,0.723932385,0.729054584,0.711005028,0.723444596,409372000.0,0.0
2016-01-12,2016-01-12,0.736128151,0.746860341,0.731006009,0.736859894,469356000.0,0.0
2016-01-13,2016-01-13,0.713688254,0.746616451,0.712956511,0.741738146,481672000.0,0.0
2016-01-14,2016-01-14,0.699297428,0.707346542,0.678564848,0.699053475,600236000.0,0.0
2016-01-15,2016-01-15,0.661247015,0.679296576,0.64978314,0.671247462,841452000.0,0.0
2016-01-19,2016-01-19,0.666613221,0.693931433,0.663930144,0.674906231,457140000.0,0.0
2016-01-20,2016-01-20,0.670271814,0.678808776,0.645148834,0.653929691,481180000.0,0.0
2016-01-21,2016-01-21,0.678077042,0.68856528,0.663686195,0.677589252,481456000.0,0.0
2016-01-22,2016-01-22,0.693931341,0.698565694,0.689540884,0.69100437,257996000.0,0.0
2016-01-25,2016-01-25,0.693199635,0.701736597,0.691736149,0.693687483,270728000.0,0.0
2016-01-26,2016-01-26,0.700029016,0.702955987,0.687589504,0.694662979,227944000.0,0.0
2016-01-27,2016-01-27,0.691735923,0.70124852,0.678564671,0.699053292,231700000.0,0.0
2016-01-28,2016-01-28,0.684174657,0.699785032,0.670759452,0.697345909,276776000.0,0.0
2016-01-29,2016-01-29,0.714420021,0.715883506,0.687345764,0.690028782,310504000.0,0.0
2016-02-01,2016-02-01,0.714663982,0.718322639,0.707590506,0.713688344,289884000.0,0.0
2016-02-02,2016-02-02,0.684418619,0.711005079,0.679540372,0.707346423,341908000.0,0.0
2016-02-03,2016-02-03,0.687833428,0.693931266,0.671979156,0.689784762,326772000.0,0.0
2016-02-04,2016-02-04,0.688077509,0.70368789,0.681247928,0.688809194,348140000.0,0.0
2016-02-05,2016-02-05,0.64466089,0.691004292,0.642709615,0.683443027,600428000.0,0.0
2016-02-08,2016-02-08,0.61514771,0.638075465,0.606122898,0.634904598,608852000.0,0.0
2016-02-09,2016-02-09,0.621733248,0.647587972,0.604903277,0.607830249,425372000.0,0.0
2016-02-10,2016-02-10,0.620269716,0.643685314,0.616854954,0.625635811,335800000.0,0.0
2016-02-11,2016-02-11,0.617098927,0.623440661,0.60441546,0.60441546,340144000.0,0.0
2016-02-12,2016-02-12,0.627587199,0.62880679,0.603683749,0.626855456,340816000.0,0.0
2016-02-16,2016-02-16,0.65831995,0.659295646,0.634660461,0.636611736,485352000.0,0.0
2016-02-17,2016-02-17,0.674662292,0.681004025,0.663930101,0.666613178,771468000.0,0.0
2016-02-18,2016-02-18,0.732713401,0.755641209,0.72929864,0.730030383,1068660000.0,0.0
2016-02-19,2016-02-19,0.742469668,0.749055352,0.723200581,0.728810569,525628000.0,0.0
2016-02-22,2016-02-22,0.768812478,0.777349439,0.751738612,0.753202098,449668000.0,0.0
2016-02-23,2016-02-23,0.770763576,0.778080945,0.759055751,0.762714465,369380000.0,0.0
2016-02-24,2016-02-24,0.776129901,0.777349492,0.746372568,0.767592997,336852000.0,0.0
2016-02-25,2016-02-25,0.777837098,0.781739706,0.763934101,0.779056688,349616000.0,0.0
2016-02-26,2016-02-26,0.772715032,0.783447164,0.764909814,0.781495888,361964000.0,0.0
2016-02-29,2016-02-29,0.767696619,0.783853496,0.767207052,0.773816673,323344000.0,0.0
2016-03-01,2016-03-01,0.801724076,0.801724076,0.76843107,0.769655104,348700000.0,0.0
2016-03-02,2016-03-02,0.806375146,0.809312781,0.795848698,0.797317516,233812000.0,0.0
2016-03-03,2016-03-03,0.799275875,0.808823071,0.788504587,0.80539587,302004000.0,0.0
2016-03-04,2016-03-04,0.796828091,0.806130506,0.790708037,0.805396097,175304000.0,0.0
2016-03-07,2016-03-07,0.79168725,0.797807305,0.781405584,0.792421659,239968000.0,0.0
2016-03-08,2016-03-08,0.777243972,0.788260047,0.774795962,0.78360881,274940000.0,0.0
2016-03-09,2016-03-09,0.77675426,0.785322265,0.766717379,0.784098289,222788000.0,0.0
2016-03-10,2016-03-10,0.775530338,0.785812004,0.759863085,0.781405551,286084000.0,0.0
2016-03-11,2016-03-11,0.788749456,0.788994298,0.777733442,0.787035855,277400000.0,0.0
2016-03-14,2016-03-14,0.790708005,0.793890424,0.781405532,0.785077576,190312000.0,0.0
2016-03-15,2016-03-15,0.786791086,0.791687106,0.772837436,0.786546303,226216000.0,0.0
2016-03-16,2016-03-16,0.810292125,0.812984977,0.777243958,0.780916003,363644000.0,0.0
2016-03-17,2016-03-17,0.803437769,0.811271367,0.792421694,0.807354598,353680000.0,0.0
2016-03-18,2016-03-18,0.827672899,0.83844413,0.807843979,0.81298484,545512000.0,0.0
2016-03-21,2016-03-21,0.8301211,0.830365883,0.81151621,0.820329059,337780000.0,0.0
2016-03-22,2016-03-22,0.828652203,0.834527416,0.818370537,0.827428227,242012000.0,0.0
2016-03-23,2016-03-23,0.842850864,0.848970861,0.828652368,0.832324413,429008000.0,0.0
2016-03-24,2016-03-24,0.844074547,0.845543365,0.832568907,0.835261701,244956000.0,0.0
2016-03-28,2016-03-28,0.852642715,0.856314701,0.841626641,0.842605833,265388000.0,0.0
2016-03-29,2016-03-29,0.866351426,0.86830981,0.847012132,0.848970517,261812000.0,0.0
2016-03-30,2016-03-30,0.875409305,0.887404573,0.869044467,0.869534092,376700000.0,0.0
2016-03-31,2016-03-31,0.872226834,0.881284466,0.865372429,0.879326081,379884000.0,0.0
2016-04-01,2016-04-01,0.884956479,0.885446104,0.860231537,0.866841158,348292000.0,0.0
2016-04-04,2016-04-04,0.876388431,0.896951762,0.872961228,0.892300525,393940000.0,0.0
2016-04-05,2016-04-05,0.875164509,0.883242948,0.865127626,0.868554887,339568000.0,0.0
2016-04-06,2016-04-06,0.876388431,0.876878056,0.847746718,0.86414838,453376000.0,0.0
2016-04-07,2016-04-07,0.867330849,0.878591708,0.863658863,0.870758052,378104000.0,0.0
2016-04-08,2016-04-08,0.872960985,0.88006023,0.864392923,0.874429802,255936000.0,0.0
2016-04-11,2016-04-11,0.878346622,0.892789895,0.875408987,0.87810178,387524000.0,0.0
2016-04-12,2016-04-12,0.877367556,0.882508359,0.86023143,0.881284325,292764000.0,0.0
2016-04-13,2016-04-13,0.899399638,0.899644422,0.881284319,0.881284319,350716000.0,0.0
2016-04-14,2016-04-14,0.901847661,0.905764488,0.893279597,0.896951641,416564000.0,0.0
2016-04-15,2016-04-15,0.908946991,0.91702543,0.898665326,0.901602961,436972000.0,0.0
2016-04-18,2016-04-18,0.905030131,0.907233358,0.896217284,0.907233358,307320000.0,0.0
2016-04-19,2016-04-19,0.888873339,0.910171021,0.88324291,0.90845742,309152000.0,0.0
2016-04-20,2016-04-20,0.892300487,0.897686132,0.886425274,0.887404467,200172000.0,0.0
2016-04-21,2016-04-21,0.891321421,0.896707067,0.887404592,0.892545397,178280000.0,0.0
2016-04-22,2016-04-22,0.887894213,0.900379048,0.884956577,0.894259052,223540000.0,0.0
2016-04-25,2016-04-25,0.892300487,0.897196507,0.885690865,0.888138875,191972000.0,0.0
2016-04-26,2016-04-26,0.893034875,0.907967777,0.889118048,0.897686112,214536000.0,0.0
2016-04-27,2016-04-27,0.913353384,0.913843009,0.889118067,0.890831668,352396000.0,0.0
2016-04-28,2016-04-28,0.88618052,0.913108691,0.883977352,0.907723045,381224000.0,0.0
2016-04-29,2016-04-29,0.869778633,0.884466691,0.860231378,0.882508306,321904000.0,0.0
2016-05-02,2016-05-02,0.881284177,0.886669821,0.873940149,0.878101759,256076000.0,0.0
2016-05-03,2016-05-03,0.870757997,0.874919608,0.863169183,0.871247622,224024000.0,0.0
2016-05-04,2016-05-04,0.850929022,0.860965844,0.842116175,0.860231436,525764000.0,0.0
2016-05-05,2016-05-05,0.856069863,0.866106744,0.849705026,0.858028306,246884000.0,0.0
2016-05-06,2016-05-06,0.864882588,0.867085814,0.852887324,0.854600925,183240000.0,0.0
2016-05-09,2016-05-09,0.863658667,0.870757854,0.856559421,0.867085868,333336000.0,0.0
2016-05-10,2016-05-10,0.880305171,0.881773989,0.860721092,0.869044314,269676000.0,0.0
2016-05-11,2016-05-11,0.882753313,0.892545353,0.878102076,0.882998154,328176000.0,0.0
2016-05-12,2016-05-12,0.870757997,0.89303493,0.855090744,0.889118102,670540000.0,0.0
2016-05-13,2016-05-13,1.003195763,1.00368533,0.954725115,0.959376295,2110256000.0,0.0
2016-05-16,2016-05-16,1.032816648,1.047749613,0.992424443,0.995606863,973032000.0,0.0
2016-05-17,2016-05-17,1.035019279,1.042363247,1.014945522,1.02816476,628392000.0,0.0
2016-05-18,2016-05-18,1.061458111,1.073453435,1.028165106,1.028165106,541072000.0,0.0
2016-05-19,2016-05-19,1.066109419,1.073698291,1.055827811,1.057296512,398880000.0,0.0
2016-05-20,2016-05-20,1.085203528,1.08960998,1.07100504,1.072718641,391084000.0,0.0
2016-05-23,2016-05-23,1.0869174,1.094016588,1.08030778,1.089855035,413636000.0,0.0
2016-05-24,2016-05-24,1.113301873,1.116738092,1.087285571,1.090230835,415788000.0,0.0
2016-05-25,2016-05-25,1.108638406,1.121401017,1.099802617,1.116737821,458076000.0,0.0
2016-05-26,2016-05-26,1.120419621,1.128519038,1.10741147,1.110602153,309964000.0,0.0
2016-05-27,2016-05-27,1.126555562,1.128273613,1.11796519,1.121646828,277416000.0,0.0
2016-05-31,2016-05-31,1.146681309,1.149135734,1.130727894,1.131464269,412524000.0,0.0
