Date,Open,High,Low,Close,Volume,sentiment,SMA_10,SMA_30,RSI
2016-03-22 00:00:00+00:00,23.45327949523925,23.93387985229492,23.26103973388672,23.6695499420166,8258094,0.7500249999999999,,,
2016-03-23 00:00:00+00:00,23.285070419311523,23.549400329589844,22.22775077819824,22.395959854125977,10581107,0.7378323561251785,,,
2016-03-24 00:00:00+00:00,22.059539794921875,23.092830657958984,21.723119735717773,22.9967098236084,8631377,0.7262343545089898,,,
2016-03-28 00:00:00+00:00,23.23700904846192,23.6455192565918,22.756410598754883,23.30909919738769,6867124,0.4166916666666666,,,
2016-03-29 00:00:00+00:00,22.948650360107425,23.42925071716309,22.51610946655273,23.357160568237305,10239950,0.420755881291607,,,
2016-03-30 00:00:00+00:00,23.621490478515625,23.71760940551757,23.14089012145996,23.26103973388672,7683188,0.5000249999999999,,,
2016-03-31 00:00:00+00:00,23.30909919738769,23.693580627441406,22.900590896606445,23.020740509033203,8305660,0.5000249999999999,,,
2016-04-01 00:00:00+00:00,22.6843204498291,23.16492080688477,22.46805000305176,23.14089012145996,7312817,0.250025,,,
2016-04-04 00:00:00+00:00,23.020740509033203,23.477310180664062,22.51610946655273,22.58819961547852,8300749,0.2848480058937355,,,
2016-04-05 00:00:00+00:00,22.323869705200195,22.948650360107425,22.25177955627441,22.61223030090332,6118435,0.5000249999999999,23.03515796661377,,
2016-04-06 00:00:00+00:00,22.63625907897949,22.924619674682617,22.25177955627441,22.828500747680664,7000874,2.4999999999997247e-05,22.951053047180174,,
2016-04-07 00:00:00+00:00,22.660289764404297,23.549400329589844,22.660289764404297,22.78043937683105,12737287,0.7500249999999999,22.989500999450684,,
2016-04-08 00:00:00+00:00,23.30909919738769,23.38118934631348,22.46805000305176,22.51610946655273,14638285,0.550025,22.941440963745116,,
2016-04-11 00:00:00+00:00,22.900590896606445,23.6695499420166,22.660289764404297,23.40522003173828,19303329,0.437525,22.951053047180174,,47.1794905193352
2016-04-12 00:00:00+00:00,22.44401931762696,22.828500747680664,22.0114803314209,22.78043937683105,27805701,0.2727522727272727,22.89338092803955,,41.6289612261888
2016-04-13 00:00:00+00:00,23.04476928710937,24.19820976257324,22.87656021118164,23.52536964416504,20289263,0.4166916666666666,22.919813919067384,,61.809031195804586
2016-04-14 00:00:00+00:00,23.765670776367188,24.36642074584961,23.45327949523925,24.05402946472168,13070246,0.250025,23.02314281463623,,61.22447491957351
2016-04-15 00:00:00+00:00,23.9819393157959,24.39044952392578,23.885820388793945,24.05402946472168,11212443,0.3333583333333333,23.114456748962404,,58.46993824477764
2016-04-18 00:00:00+00:00,23.573429107666016,24.342390060424805,23.501340866088867,24.24626922607422,8736663,0.5000249999999999,23.280263710021973,,59.78833712352669
2016-04-19 00:00:00+00:00,24.46253967285156,25.303590774536133,24.414480209350582,25.303590774536133,10828464,0.5000249999999999,23.549399757385252,,68.5589466675401
2016-04-20 00:00:00+00:00,25.23150062561035,25.80821990966797,24.678810119628903,25.447769165039062,12643571,0.5000249999999999,23.811326599121095,,72.44441732023466
2016-04-21 00:00:00+00:00,25.664039611816406,25.736129760742188,24.871049880981445,25.03926086425781,9809988,0.5000249999999999,24.03720874786377,,66.6666666666666
2016-04-22 00:00:00+00:00,25.11134910583496,25.567920684814453,24.798959732055664,24.991199493408203,8394382,0.5000249999999999,24.284717750549316,,73.14813317713386
2016-04-25 00:00:00+00:00,24.77492904663086,24.871049880981445,24.270299911499023,24.414480209350582,8077611,0.5000249999999999,24.385643768310544,,65.69037114971516
2016-04-26 00:00:00+00:00,24.70284080505371,25.640010833740234,24.46253967285156,25.61598014831543,11373200,0.5000249999999999,24.66919784545898,,70.71427761493578
2016-04-27 00:00:00+00:00,25.61598014831543,27.298080444335938,25.61598014831543,27.17793083190918,19386642,2.4999999999997247e-05,25.034453964233396,,76.67639205856337
2016-04-28 00:00:00+00:00,26.96166038513184,27.34613990783692,26.67329978942871,26.79344940185547,11177029,0.0244102877496429,25.308395957946775,,75.57470608950787
2016-04-29 00:00:00+00:00,27.1058406829834,27.63450050354004,26.60120964050293,26.84151077270508,17319018,0.0476062909820202,25.587144088745116,,72.8434468333732
2016-05-02 00:00:00+00:00,26.91360092163086,27.05777931213379,26.07254981994629,26.33687973022461,10785227,0.1106246084642975,25.796205139160158,,74.02596599356298
2016-05-03 00:00:00+00:00,25.664039611816406,25.784189224243164,24.6547794342041,24.871049880981445,12592135,0.1666916666666666,25.752951049804686,24.112502924601237,58.28402227909359
2016-05-04 00:00:00+00:00,24.70284080505371,25.11134910583496,24.43851089477539,24.606719970703125,9415522,0.5000249999999999,25.668846130371094,24.143741925557453,53.51682150185071
2016-05-05 00:00:00+00:00,24.798959732055664,24.943140029907227,23.885820388793945,24.078060150146484,9225385,0.5000249999999999,25.57272605895996,24.199811935424805,50.14327051597626
2016-05-06 00:00:00+00:00,24.005970001220703,24.726869583129883,24.005970001220703,24.12611961364746,7668290,0.250025,25.486218070983888,24.237458928426108,49.271139589964676
2016-05-09 00:00:00+00:00,23.693580627441406,23.693580627441406,22.6843204498291,22.73237991333008,14081856,0.5000249999999999,25.318008041381837,24.218234952290853,35.01400155412253
2016-05-10 00:00:00+00:00,22.9726791381836,23.26103973388672,22.395959854125977,23.23700904846192,9266126,0.5000249999999999,25.080110931396487,24.214229901631672,37.634409749301
